"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
85,"Teresa Berbey","MIVIOT","Teresa","BERBEY","Secretario general","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN EL PROYECTO DE MODELO DE NEGOCIACIÓN EN THE HARVARD FACULTY CLUB","3/23/2014",2014,"3/29/2014","873.1",,7050,,"no","No"
86,"Juan Manuel Vásquez","MIVIOT","Juan Manuel","Vásquez","Viceministro de ordenamiento territorial","mexico","méxico","23:-102'","Seminario de Vivienda y Urbanismo desastre.","3/23/2015",2015,"3/25/2015",,"Sufragado Por El Gobierno De Singapur",480,,"no","No"
87,"María Yolanda Álvarez","MIVIOT","María Yolanda","Álvarez","Directora de programación y presupuesto","república dominicana","república dominicana","19:-70,666667'","Seminario Internacional de Alta Gerencia denominada “Gestión para el resultado de desarrollo desde la perspectiva de tomadores de decisiones""","5/25/2015",2015,"5/30/2015",,"Sufragado Por El Evento",630,,"no","No"
88,"Maribel E. Quintero R.","MIVIOT","Maribel E.","Quintero R.","Sectoralista de presupuesto del mef para el miviot","argentina","argentina","-34:-64'","XLII Seminario Internacional de Presupuesto Público","10/5/2015",2015,"10/10/2015","2098.2",,2250,,"no","No"
89,"Lizbeth Alfonso","MIVIOT","Lizbeth","Alfonso","Jefa de la unidad de informática","colombia","colombia","4:-72'","Entrenamiento de McAfee Next Generation Firewall Administration","11/8/2015",2015,"11/13/2015",,"Sufragado Por Tecnasa",525,,"no","No"
90,"Juan Manuel González","MIVIOT","Juan Manuel","González","Subjefe de la unidad de informática","colombia","colombia","4:-72'","Entrenamiento de McAfee Next Generation Firewall Administration","11/8/2015",2015,"11/13/2015",,"Sufragado Por Tecnasa",525,,"no","No"
91,"Edgardo Jaén","MIVIOT","Edgardo","Jaén","Admnistrador de redes de la unidad de informática","colombia","colombia","4:-72'","Entrenamiento de McAfee Next Generation Firewall Administration","11/8/2015",2015,"11/13/2015",,"Sufragado Por Tecnasa",525,,"no","No"
92,"Mario Etchelecu","MIVIOT","Mario","Etchelecu","Ministro","república dominicana","república dominicana","19:-70,666667'","Tratar temas de proyectos de viviendas, proyectos de energía y gas natural y metas presidenciales.","1/27/2016",2016,"1/28/2016","1689.17",,500,,"no","No"
93,"Alberto Alemán","MICI","Alberto","Alemán","Director de la agencia para atracción de las inversiones y promociones de las exportaciones (proinvex)","países bajos","holanda","52,5:5,75'","Participó del ""Panamá Invest Rotterdam - Netherlands"" realizado en Nhow Rotterdam Hotel.","20/5/2016",2016,"26/5/2016","977.1",,3600,,"pdf","Si"
94,"Alexander Santoya","MICI","Alexander","Santoya","Jefe de reglas de origen de la dirección nacional de negociaciones comerciales internacionales","honduras","honduras","15:-86,5'","Participó de la ""Tercera Ronda de Unión Aduanera Centroamericana, Correspondiente al I Semestre de 2016"" realizado en Tegucigalpa, Honduras.","19/6/2016",2016,"24/6/2016","916.74",,2000,,"pdf","Si"
95,"Alexis Pineda","MICI","Alexis","Pineda","Director nacional de administracción de tratados comerciales internacionales y de defensa comercial.","honduras","honduras","15:-86,5'","Participó de la ""Reunión del Consejo de Ministros de Integración Económica Centroamericana"" realizado en Tegucigalpa, Honduras.","6/6/2016",2016,"7/6/2016","1143.78",,400,,"pdf","Si"
96,"Alfredo Suescum","MICI","Alfredo","Suescum","Embajador, representante permanente de panamá","australia","australia","-25:135'","Participó de ""Reunión Ministerial del Acuerdo de Comercio de Servicio - TISA, Reunión con el Ministro de Comercio e Inversiones de Austrialia para Tratar los Resultados Posteriores a la Ministerial de la OMC Realizada en Nairobi"" realizado en Paris, Francia","1/6/2016",2016,"2/6/2016",355,,600,,"pdf","Si"
97,"Ana Henríquez","MICI","Ana","Henríquez","Promotora de exportaciones de la dirección general de exportaciones","república dominicana","república dominicana","19:-70,666667'","Participó de la ""Conferencia Mundial del Cacao 2016"" realizado en República Dominicana.","21/5/2016",2016,"26/5/2016","998.51",,2000,,"pdf","Si"
98,"Emilio Saavedra","MICI","Emilio","Saavedra","Abogado, de la dirección de derecho de autor","costa rica","costa rica","10:-84'","Participó del "" Curso Regional Especializado en Derecho de Autor para Países de América Latina""realizado en San José, Costa Rica.","15/5/2016",2016,"21/5/2016",,,600,,"pdf","Si"
99,"Gisselle Domínguez","MICI","Gisselle","Domínguez","Directora provincial de chiriquí","estados unidos de américa","estados unidos de américa","39,828175:-98,5795'","Participó del ""Seminario Ejecutivo en Gerencia Política"" realizado en Washington D.C., Estados Unidos.","13/3/2016",2016,"19/3/2016",,,750,,"pdf","Si"
100,"Ivelín Herrera","MICI","Ivelín","Herrera","Asesora de la oficina de negociaciones comerciales internacionales","honduras","honduras","15:-86,5'","Participó de la ""Tercera Ronda de Unión Aduanera Centroamericana, Correspondiente al I Semestre de 2016"" realizado en Tegucigalpa, Honduras.","19/6/2016",2016,"22/6/2016","921.74",,1200,,"pdf","Si"
101,"Ivelín Herrera","MICI","Ivelín","Herrera","Asesora de la oficina de negociaciones comerciales internacionales","honduras","honduras","15:-86,5'","Participó de la ""Reunión del Consejo de Ministros de Integración Económica Centroamericana"" realizado en Tegucigalpa, Honduras.","6/6/2016",2016,"7/6/2016","1143.78",,400,,"pdf","Si"
102,"Jean Digeon","MICI","Jean","Digeon","Promotor de inversiones para la atracción de las inversiones y promociones de las exportaciones (proinvex)","grecia","grecia","39:22'","Participó de la ""Feria de Exposición Maritima Posidonia 2016"" realizado en Atenas, Grecia.","4/6/2016",2016,"11/6/2016","1855.05",,4200,,"pdf","Si"
103,"Judith Jimenez","MICI","Judith","Jimenez","Economista de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","honduras","honduras","15:-86,5'","Participó de la ""Tercera Ronda de Unión Aduanera Centroamericana, Correspondiente al I Semestre de 2016"" realizado en Tegucigalpa, Honduras.","20/6/2016",2016,"24/6/2016","775.32",,1600,,"pdf","Si"
104,"Leonardo Uribe","MICI","Leonardo","Uribe","Director general de la dirección general del registro de la propiedad industrial","suiza","suiza","47:8'","Participó de la ""Trigesima sesíon del Comité Intergubernamental sobre Propiedad Intelectual y Recursos Genéticos, Conocimientos Tradicionales y Folclore""realizado en Ginebra, Suiza.","28/5/2016",2016,"4/6/2016","816.32",,4200,,"pdf","Si"
105,"Leyda Aparicio","MICI","Leyda","Aparicio","Directora general de exportaciones de la dirección nacional de promoción de las exportaciones","irlanda","irlanda","53:-8'","Participó del ""World of Coffee Dublín 2016"" realizado en Dublín, Irlanda.","20/6/2016",2016,"26/6/2016","1207.15",,3600,,"pdf","Si"
106,"Linda Castillo","MICI","Linda","Castillo","Director general de defensa comercial de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","suiza","suiza","47:8'","Participó del ""Curso Temático Avanzado de Solución de Controversias en la OMC"" realizado en Ginebra, Suiza.","18/6/2016",2016,"25/6/2016",,,1050,,"pdf","Si"
107,"Lissette Wheattey","MICI","Lissette","Wheattey","Promotor de inversiones para la atracción de las inversiones y promociones de las exportaciones (proinvex)","países bajos","holanda","52,5:5,75'","Participó del ""Panamá Invest Rotterdam - Netherlands"" realizado en Nhow Rotterdam Hotel.","20/5/2016",2016,"26/5/2016","977.1",,3600,,"pdf","Si"
108,"Luigi González","MICI","Luigi","González","Promotora de exportaciones de la dirección general de exportaciones","grecia","grecia","39:22'","Participó de la ""Feria de Exposición Maritima Posidonia 2016"" realizado en Atenas, Grecia.","3/6/2016",2016,"11/6/2016","1608.55",,4800,,"pdf","Si"
109,"Luis Rojer","MICI","Luis","Rojer","Jefe de gabinete ministerial del despacho superior","francia","francia","46:2'","Participó del ""Foro Económico Internacional de América Latina y el Caribe"" realizado en paris, Francia.","31/5/2016",2016,"4/6/2016","1845.99",,2400,,"pdf","Si"
110,"Omar Castillo","MICI","Omar","Castillo","Abogado de sedes de empresas multinacionales (sem)","chile","chile","-30:-71'","Participó del ""Proyecto de Cooperación Técnica y Científica entre la República de Chile y la República de Panamá denominado ""La Competitividad en Areas de Sedes de Empresas Multinacionales y la Importancia que estas Amplien sus Actividades de logística"" realizado en Santiago, Chile.","29/5/2016",2016,"1/6/2016","1208.88",,1500,,"pdf","Si"
111,"Ruth Harding","MICI","Ruth","Harding","Directora general de administración de tratados de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial","honduras","honduras","15:-86,5'","Participó de la ""Tercera Ronda de Unión Aduanera Centroamericana, Correspondiente al I Semestre de 2016"" realizado en Tegucigalpa, Honduras.","19/6/2016",2016,"24/6/2016","916.74",,2000,,"pdf","Si"
112,"Augusto Arosemena","MICI","Augusto","Arosemena","Ministro del despacho superior del ministerio de comercio e industrias","francia","francia","46:2'","Participó del ""Foro Económico Internacional de América Latina y el Caribe"" realizado en paris, Francia.","31/5/2016",2016,"4/6/2016","4609.21",,2800,,"pdf","Si"
113,"Diana Salazar","MICI","Diana","Salazar","Viceminstra de negociaciones comerciales internacionales","honduras","honduras","15:-86,5'","Participó de la ""Reunión del Consejo de Ministros de Integración Económica Centroamericana"" realizado en Tegucigalpa, Honduras.","6/6/2016",2016,"7/6/2016","1143.78",,500,,"pdf","Si"
114,"Néstor González","MICI","Néstor","González","Viceministro de comercio exterior, del despacho superior","bolivia","bolivia","-17:-65'","Participó del ""Foro de Oportunidades e Inversiones en Tiempos Difíciles"" realizado en Santa Cruz, Bolivia.","28/4/2016",2016,"30/4/2016","2295.54",,1000,,"pdf","Si"
115,"Velkis Afú","MICI","Velkis","Afú","Jefa de asuntos bilaterales y multilaterales de negociación de la dirección nacional de negociaciones comerciales internacionales","honduras","honduras","15:-86,5'","Participó de la ""Tercera Ronda de Unión Aduanera Centroamericana, Correspondiente al I Semestre de 2016"" realizado en Tegucigalpa, Honduras.","22/6/2016",2016,"24/6/2016","901.52",,800,,"pdf","Si"
116,"Alexander Santoya","MICI","Alexander","Santoya","Jefe de normas de origen y procedimientos aduaneros de la dirección nacional de negociaciones comerciales internacionales (dineci)","corea del sur","corea del sur","37:127,5'","Participó de la ""V Ronda de Negociación para la Suscripción de un Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Seúl, Corea.","5/8/2016",2016,"14/8/2016","2945.48",,5400,,"pdf","Si"
117,"Ana Alfonso","MICI","Ana","Alfonso","Economista negociadora de la dirección nacional de negociaciones comerciales internacionales.","corea del sur","corea del sur","37:127,5'","Participó de la ""V Ronda de Negociación para la Suscripción de un Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Seúl, Corea.","7/8/2016",2016,"14/8/2016","2506.9",,4200,,"pdf","Si"
118,"Augusto Arosemena","MICI","Augusto","Arosemena","Ministro del ministerio de comercio e industrias","perú","perú","-10:-76'","Participó del ""Panamá Invest, Perú"" realizado en Lima, Perú.","6/8/2016",2016,"10/8/2016",3000,,2000,,"pdf","Si"
119,"Augusto Arosemena","MICI","Augusto","Arosemena","Ministro del ministerio de comercio e industrias","perú","perú","-10:-76'","Participó del ""Acto de Ceremonia de Transmisión de Mando Supremo - Toma de Posesión del Nuevo Presidente Electo del Perú"" realizado en Lima, Perú.","27/7/2016",2016,"29/7/2016",3000,,1000,,"pdf","Si"
120,"Edgar Arias","MICI","Edgar","Arias","Director general de la dirección general de normas y tecnología industrial","chile","chile","-30:-71'","Participó de la ""Pasantía de Normalización Internacional"" realizado en Santiago de Chile.","25/7/2016",2016,"29/7/2016",,,500,,"pdf","Si"
121,"Julissa Estrada","MICI","Julissa","Estrada","Abogada negociadora de la dirección nacional de negociaciones comerciales internacionales.","corea del sur","corea del sur","37:127,5'","Participó de la ""V Ronda de Negociación para la Suscripción de un Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Seúl, Corea.","6/8/2016",2016,"14/8/2016","2535.46",,4800,,"pdf","Si"
122,"Krizia Matthews","MICI","Krizia","Matthews","Consejera legal misión permanente de panamá ante la omc","kenia","kenia","1:38'","Participó de la ""Decimocuarta Sesión de la Conferencia de Naciones Unidas para el Comercio y Desarrollo (UNCTAD)"" realizado en Nairobi, Kenia,","14/7/2016",2016,"23/7/2016","1863.5",,5400,,"pdf","Si"
123,"Luis Garrido","MICI","Luis","Garrido","Director nacional de la dirección nacional de negociaciones comerciales internacionales","corea del sur","corea del sur","37:127,5'","Participó de la ""V Ronda de Negociación para la Suscripción de un Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Seúl, Corea.","5/8/2016",2016,"14/8/2016","2945.48",,5400,,"pdf","Si"
124,"Luis Rojer","MICI","Luis","Rojer","Jefe de gabinete ministerial del despacho superior","perú","perú","-10:-76'","Participó del ""Panamá Invest, Perú"" realizado en Lima, Perú.","7/8/2016",2016,"10/8/2016",1900,,1200,,"pdf","Si"
125,"Pebbles Muñoz","MICI","Pebbles","Muñoz","Analista de comercio exterior de la dirección nacional de negociaciones comerciales internacionales","corea del sur","corea del sur","37:127,5'","Participó de la ""V Ronda de Negociación para la Suscripción de un Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Seúl, Corea.","5/8/2016",2016,"14/8/2016","2945.48",,5400,,"pdf","Si"
126,"Pilar Santiago","MICI","Pilar","Santiago","Abogada negociadora de la dirección nacional de negociaciones comerciales internacionales.","corea del sur","corea del sur","37:127,5'","Participó de la ""V Ronda de Negociación para la Suscripción de un Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Seúl, Corea.","5/8/2016",2016,"11/8/2016","2765.78",,3600,,"pdf","Si"
127,"Diana Salazar","MICI","Diana","Salazar","Viceminstra de negociaciones comerciales internacionales","kenia","kenia","1:38'","Participó de la ""Decimocuarta Sesión de la Conferencia de Naciones Unidas para el Comercio y Desarrollo (UNCTAD)"" realizado en Nairobi, Kenia,","15/7/2016",2016,"23/7/2016","7209.8",,5600,,"pdf","Si"
128,"Samuel Moreno","MICI","Samuel","Moreno","Director general de asuntos jurídicos de negociaciones de la dirección nacional de negociaciones comerciales internacionales dineci","corea del sur","corea del sur","37:127,5'","Participó de la ""V Ronda de Negociación para la Suscripción de un Tratado de Libre Comercio entre Centroamérica y la República de Corea"" realizado en Seúl, Corea.","5/8/2016",2016,"14/8/2016","2945.48",,5400,,"pdf","Si"
129,"Stephan Proaño","MICI","Stephan","Proaño","Director de la dirección general de cine","puerto rico","puerto rico","18,2482882:-66,4998941'","Participó de la ""Conferencia de Autoridades Cinematográficas de Iberoamérica y Programa IBERMEDIA"" realizado en san Juan, Puerto Rico.","13/6/2016",2016,"17/6/2016","493.99",,1600,,"pdf","Si"
